Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","54,760",19.01,"39,540",18.08,"37,610"
Secretaries and Administrative Assistants,"3,104,790",21.76,"45,250",19.08,"39,680"
Executive Secretaries and Executive Administrative Assistants,"466,910",32.15,"66,870",29.84,"62,060"
Legal Secretaries and Administrative Assistants,"155,250",25.26,"52,540",22.94,"47,710"
Medical Secretaries and Administrative Assistants,"656,640",19.11,"39,740",18.01,"37,450"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1,825,980",19.75,"41,080",18.21,"37,880"
Other Office and Administrative Support Workers,"3,254,180",18.98,"39,480",17.88,"37,180"
Data Entry and Information Processing Workers,"189,100",18.07,"37,590",17.72,"36,850"
Data Entry Keyers,"147,170",17.28,"35,940",17.13,"35,630"
Word Processors and Typists,"41,930",20.85,"43,370",21.17,"44,030"
Desktop Publishers,"7,600",24.49,"50,930",22.55,"46,910"
Insurance Claims and Policy Processing Clerks,"218,300",22.02,"45,790",21.89,"45,520"
"Mail Clerks and Mail Machine Operators, Except Postal Service","69,400",16.54,"34,390",15.65,"32,550"
"Office Clerks, General","2,578,180",18.75,"38,990",17.81,"37,030"
"Office Machine Operators, Except Computer","32,920",17.84,"37,110",17.61,"36,630"
Proofreaders and Copy Markers,"5,340",22.12,"46,010",21.12,"43,940"
Statistical Assistants,"6,190",25.68,"53,420",23.16,"48,160"
Miscellaneous Office and Administrative Support Workers,"147,140",20.47,"42,580",18.22,"37,900"
"Office and Administrative Support Workers, All Other","147,140",20.47,"42,580",18.22,"37,900"
"Farming, Fishing, and Forestry Occupations","452,490",16.70,"34,730",14.36,"29,860"
"Supervisors of Farming, Fishing, and Forestry Workers","25,770",26.18,"54,450",23.38,"48,640"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","25,770",26.18,"54,450",23.38,"48,640"
Agricultural Workers,"383,760",15.60,"32,450",14.27,"29,680"
Agricultural Inspectors,"13,630",22.80,"47,430",21.70,"45,140"
Animal Breeders,950,20.81,"43,270",19.28,"40,090"
"Graders and Sorters, Agricultural Products","25,560",14.62,"30,400",14.25,"29,630"
Miscellaneous Agricultural Workers,"343,630",15.37,"31,980",14.27,"29,680"
Agricultural Equipment Operators,"26,180",17.44,"36,280",17.48,"36,360"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","277,200",15.11,"31,440",14.25,"29,630"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","34,140",15.46,"32,150",14.25,"29,630"
"Agricultural Workers, All Other","6,100",17.88,"37,190",15.65,"32,550"
"Forest, Conservation, and Logging Workers","42,330",20.83,"43,320",18.77,"39,050"
Forest and Conservation Workers,"6,300",16.20,"33,690",14.69,"30,550"
Logging Workers,"36,030",21.63,"45,000",22.27,"46,330"
Fallers,"4,170",25.85,"53,760",22.94,"47,700"
Logging Equipment Operators,"25,510",21.14,"43,960",22.31,"46,400"
Log Graders and Scalers,"3,260",19.96,"41,520",18.18,"37,820"
"Logging Workers, All Other","3,080",21.84,"45,430",22.16,"46,090"
Construction and Extraction Occupations,"5,848,950",26.87,"55,900",23.18,"48,210"
Supervisors of Construction and Extraction Workers,"665,870",36.09,"75,060",34.62,"72,010"
First-Line Supervisors of Construction Trades and Extraction Workers,"665,870",36.09,"75,060",34.62,"72,010"
Construction Trades Workers,"4,362,080",26.03,"54,140",23.01,"47,860"
Boilermakers,"12,920",33.21,"69,070",30.91,"64,290"
"Brickmasons, Blockmasons, and Stonemasons","64,950",28.78,"59,870",27.38,"56,950"
Brickmasons and Blockmasons,"55,950",29.53,"61,430",28.53,"59,340"
Stonemasons,"9,000",24.12,"50,170",22.89,"47,610"
Carpenters,"668,060",26.53,"55,190",23.20,"48,260"
"Carpet, Floor, and Tile Installers and Finishers","83,600",24.95,"51,890",22.74,"47,310"
Carpet Installers,"19,790",23.42,"48,710",22.42,"46,640"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","18,300",25.90,"53,880",23.11,"48,060"
Floor Sanders and Finishers,"4,340",21.34,"44,380",18.82,"39,140"
Tile and Stone Setters,"41,160",25.64,"53,330",22.99,"47,810"
"Cement Masons, Concrete Finishers, and Terrazzo Workers","189,240",24.52,"51,000",22.77,"47,360"
Cement Masons and Concrete Finishers,"186,600",24.47,"50,900",22.76,"47,340"
Terrazzo Workers and Finishers,"2,640",28.07,"58,380",23.40,"48,680"
Construction Laborers,"968,760",21.22,"44,130",18.16,"37,770"
Construction Equipment Operators,"452,780",26.87,"55,890",23.22,"48,290"
"Paving, Surfacing, and Tamping Equipment Operators","44,200",24.32,"50,590",22.58,"46,960"
Pile Driver Operators,"3,760",36.51,"75,950",36.66,"76,260"
Operating Engineers and Other Construction Equipment Operators,"404,820",27.06,"56,280",23.25,"48,360"
"Drywall Installers, Ceiling Tile Installers, and Tapers","111,650",27.00,"56,160",23.24,"48,350"
Drywall and Ceiling Tile Installers,"97,070",26.35,"54,810",23.09,"48,040"
Tapers,"14,580",31.32,"65,140",29.37,"61,080"
Electricians,"650,580",30.44,"63,310",28.87,"60,040"
Glaziers,"52,700",24.98,"51,950",22.68,"47,180"
Insulation Workers,"58,370",24.18,"50,300",22.48,"46,760"
"Insulation Workers, Floor, Ceiling, and Wall","30,360",21.54,"44,810",19.17,"39,880"
"Insulation Workers, Mechanical","28,010",27.05,"56,260",23.20,"48,260"
Painters and Paperhangers,"216,560",22.69,"47,180",21.94,"45,630"
"Painters, Construction and Maintenance","214,220",22.66,"47,140",21.92,"45,590"
Paperhangers,"2,340",24.79,"51,560",22.89,"47,610"
"Pipelayers, Plumbers, Pipefitters, and Steamfitters","450,940",29.93,"62,250",28.51,"59,310"
Pipelayers,"33,330",23.32,"48,510",22.11,"45,980"
"Plumbers, Pipefitters, and Steamfitters","417,620",30.46,"63,350",28.79,"59,880"
Plasterers and Stucco Masons,"26,980",26.35,"54,810",23.24,"48,340"
Reinforcing Iron and Rebar Workers,"16,420",28.35,"58,960",23.48,"48,830"
Roofers,"129,890",23.51,"48,890",22.65,"47,110"
Sheet Metal Workers,"122,630",28.25,"58,760",25.69,"53,440"
Structural Iron and Steel Workers,"68,620",29.46,"61,270",28.15,"58,550"
Solar Photovoltaic Installers,"16,420",24.38,"50,710",22.92,"47,670"
"Helpers, Construction Trades","206,900",17.95,"37,340",17.55,"36,510"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","18,210",20.85,"43,370",18.21,"37,870"
Helpers--Carpenters,"27,540",17.95,"37,340",17.64,"36,690"
Helpers--Electricians,"72,150",17.66,"36,720",17.48,"36,360"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","8,940",16.96,"35,270",16.04,"33,370"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","45,930",17.47,"36,350",17.18,"35,720"
Helpers--Roofers,"6,830",17.31,"36,000",17.48,"36,360"
"Helpers, Construction Trades, All Other","27,300",18.08,"37,610",17.64,"36,690"
Other Construction and Related Workers,"430,760",26.28,"54,670",23.04,"47,910"
Construction and Building Inspectors,"117,830",32.93,"68,480",29.63,"61,640"
Elevator and Escalator Installers and Repairers,"22,510",43.91,"91,320",47.05,"97,860"
Fence Erectors,"24,470",19.78,"41,140",18.12,"37,700"
Hazardous Materials Removal Workers,"44,240",23.69,"49,280",22.26,"46,300"
Highway Maintenance Workers,"141,150",21.32,"44,340",22.06,"45,880"
Rail-Track Laying and Maintenance Equipment Operators,"21,030",29.22,"60,770",29.66,"61,690"
Septic Tank Servicers and Sewer Pipe Cleaners,"28,620",21.82,"45,390",21.54,"44,810"
Miscellaneous Construction and Related Workers,"30,920",21.81,"45,370",19.16,"39,850"
Extraction Workers,"183,340",24.95,"51,900",22.89,"47,600"
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas","51,910",27.14,"56,460",23.43,"48,740"
"Derrick Operators, Oil and Gas","7,880",25.07,"52,140",22.71,"47,230"
"Rotary Drill Operators, Oil and Gas","11,170",29.73,"61,840",27.10,"56,380"
"Service Unit Operators, Oil and Gas","32,870",26.76,"55,660",23.28,"48,410"
Surface Mining Machine Operators and Earth Drillers,"51,520",24.52,"51,000",22.78,"47,370"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","35,720",23.97,"49,850",22.47,"46,740"
"Earth Drillers, Except Oil and Gas","15,800",25.77,"53,600",23.20,"48,250"
"Explosives Workers, Ordnance Handling Experts, and Blasters","5,370",27.44,"57,070",25.50,"53,040"
Underground Mining Machine Operators,"24,200",27.85,"57,920",28.77,"59,840"
Continuous Mining Machine Operators,"14,740",27.61,"57,430",28.99,"60,300"
"Roof Bolters, Mining","1,850",28.45,"59,170",28.74,"59,770"
"Loading and Moving Machine Operators, Underground Mining","4,450",27.56,"57,330",27.84,"57,900"
"Underground Mining Machine Operators, All Other","3,150",28.99,"60,290",29.45,"61,260"
"Rock Splitters, Quarry","4,450",20.02,"41,630",18.12,"37,700"
"Roustabouts, Oil and Gas","34,520",21.51,"44,730",18.71,"38,920"
Helpers--Extraction Workers,"5,980",19.65,"40,860",18.15,"37,760"
Miscellaneous Extraction Workers,"5,380",24.50,"50,960",23.15,"48,140"
"Extraction Workers, All Other","5,380",24.50,"50,960",23.15,"48,140"
"Installation, Maintenance, and Repair Occupations","5,574,410",25.66,"53,380",23.05,"47,940"
"Supervisors of Installation, Maintenance, and Repair Workers","526,240",35.38,"73,590",34.26,"71,260"
"First-Line Supervisors of Mechanics, Installers, and Repairers","526,240",35.38,"73,590",34.26,"71,260"
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers","499,670",27.53,"57,260",26.84,"55,820"
"Computer, Automated Teller, and Office Machine Repairers","86,420",21.24,"44,170",19.70,"40,970"
Radio and Telecommunications Equipment Installers and Repairers,"186,530",29.09,"60,510",29.02,"60,360"
"Radio, Cellular, and Tower Equipment Installers and Repairers","13,700",30.05,"62,500",29.02,"60,360"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","172,830",29.02,"60,350",29.02,"60,370"
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","226,720",28.65,"59,590",28.26,"58,780"
Avionics Technicians,"18,910",33.59,"69,860",33.31,"69,280"
"Electric Motor, Power Tool, and Related Repairers","15,880",23.43,"48,740",22.55,"46,910"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","10,710",33.97,"70,650",37.14,"77,250"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","50,780",30.88,"64,230",29.68,"61,730"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","22,490",42.13,"87,640",44.91,"93,420"
"Electronic Equipment Installers and Repairers, Motor Vehicles","9,000",21.01,"43,690",19.55,"40,670"
Audiovisual Equipment Installers and Repairers,"21,540",22.18,"46,120",21.54,"44,790"
Security and Fire Alarm Systems Installers,"77,420",25.08,"52,170",23.23,"48,320"
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","1,570,020",24.23,"50,400",22.79,"47,410"
Aircraft Mechanics and Service Technicians,"125,440",33.40,"69,470",31.43,"65,380"
Automotive Technicians and Repairers,"783,310",23.22,"48,310",22.55,"46,910"
Automotive Body and Related Repairers,"137,300",24.36,"50,660",22.73,"47,270"
Automotive Glass Installers and Repairers,"16,230",19.56,"40,690",18.23,"37,920"
Automotive Service Technicians and Mechanics,"629,780",23.07,"47,990",22.54,"46,880"
Bus and Truck Mechanics and Diesel Engine Specialists,"261,420",25.49,"53,020",23.41,"48,690"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"203,060",26.87,"55,900",25.85,"53,770"
Farm Equipment Mechanics and Service Technicians,"35,030",22.71,"47,250",22.55,"46,910"
"Mobile Heavy Equipment Mechanics, Except Engines","145,230",27.54,"57,280",27.90,"58,030"
Rail Car Repairers,"22,800",29.04,"60,400",28.97,"60,250"
Small Engine Mechanics,"72,800",20.53,"42,690",18.78,"39,050"
Motorboat Mechanics and Service Technicians,"23,080",22.43,"46,660",22.46,"46,730"
Motorcycle Mechanics,"15,020",20.18,"41,970",18.35,"38,170"
Outdoor Power Equipment and Other Small Engine Mechanics,"34,700",19.41,"40,360",18.05,"37,540"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","123,980",16.51,"34,340",14.60,"30,370"
Bicycle Repairers,"14,760",16.52,"34,360",16.68,"34,690"
Recreational Vehicle Service Technicians,"16,030",21.60,"44,930",20.94,"43,560"
Tire Repairers and Changers,"93,180",15.63,"32,520",14.22,"29,580"
"Other Installation, Maintenance, and Repair Occupations","2,978,490",24.39,"50,730",22.71,"47,230"
Control and Valve Installers and Repairers,"68,170",28.78,"59,860",25.95,"53,980"
Mechanical Door Repairers,"23,300",21.88,"45,520",21.66,"45,060"
"Control and Valve Installers and Repairers, Except Mechanical Door","44,870",32.36,"67,310",30.18,"62,760"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","356,960",26.29,"54,690",23.38,"48,630"
Home Appliance Repairers,"28,120",21.80,"45,340",21.31,"44,320"
"Industrial Machinery Installation, Repair, and Maintenance Workers","470,650",28.05,"58,350",28.55,"59,380"
Industrial Machinery Mechanics,"373,090",28.26,"58,780",28.77,"59,840"
"Maintenance Workers, Machinery","57,660",25.75,"53,570",23.51,"48,900"
Millwrights,"39,240",29.45,"61,260",29.00,"60,330"
"Refractory Materials Repairers, Except Brickmasons",660,26.33,"54,760",26.08,"54,250"
Line Installers and Repairers,"225,460",34.37,"71,500",35.83,"74,530"
Electrical Power-Line Installers and Repairers,"123,940",38.01,"79,060",37.65,"78,310"
Telecommunications Line Installers and Repairers,"101,530",29.93,"62,250",28.94,"60,190"
Precision Instrument and Equipment Repairers,"74,530",26.38,"54,870",23.38,"48,630"
Camera and Photographic Equipment Repairers,"2,340",21.28,"44,260",18.36,"38,200"
Medical Equipment Repairers,"53,400",27.13,"56,420",24.00,"49,910"
Musical Instrument Repairers and Tuners,"5,710",19.11,"39,740",17.87,"37,160"
Watch and Clock Repairers,"1,970",21.86,"45,460",21.27,"44,250"
"Precision Instrument and Equipment Repairers, All Other","11,110",28.40,"59,070",27.73,"57,670"
"Maintenance and Repair Workers, General","1,416,740",21.60,"44,920",20.76,"43,180"
Wind Turbine Service Technicians,"10,100",28.16,"58,580",27.05,"56,260"
"Miscellaneous Installation, Maintenance, and Repair Workers","327,750",21.01,"43,710",18.28,"38,030"
"Coin, Vending, and Amusement Machine Servicers and Repairers","27,540",20.20,"42,010",18.77,"39,040"
Commercial Divers,"2,670",39.43,"82,010",29.02,"60,360"
Locksmiths and Safe Repairers,"15,380",22.98,"47,810",22.55,"46,910"
Manufactured Building and Mobile Home Installers,"3,530",17.23,"35,830",17.48,"36,360"
Riggers,"17,980",25.05,"52,100",23.14,"48,130"
Signal and Track Switch Repairers,"8,090",35.68,"74,220",38.73,"80,570"
"Helpers--Installation, Maintenance, and Repair Workers","88,480",16.87,"35,090",15.91,"33,100"
"Installation, Maintenance, and Repair Workers, All Other","164,070",21.82,"45,380",20.46,"42,570"
Production Occupations,"8,408,030",20.71,"43,070",18.13,"37,710"
Supervisors of Production Workers,"629,420",32.37,"67,330",29.71,"61,790"
First-Line Supervisors of Production and Operating Workers,"629,420",32.37,"67,330",29.71,"61,790"
Assemblers and Fabricators,"1,769,890",18.75,"39,000",17.87,"37,170"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","33,320",26.63,"55,380",23.79,"49,480"
"Electrical, Electronics, and Electromechanical Assemblers","283,010",19.11,"39,740",18.01,"37,460"
"Coil Winders, Tapers, and Finishers","11,090",20.41,"42,460",18.44,"38,360"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","271,920",19.05,"39,630",18.01,"37,460"
Engine and Other Machine Assemblers,"45,990",23.13,"48,110",22.81,"47,440"
Structural Metal Fabricators and Fitters,"61,070",21.99,"45,730",21.87,"45,480"
Fiberglass Laminators and Fabricators,"17,380",19.40,"40,360",18.10,"37,650"
Timing Device Assemblers and Adjusters,560,21.48,"44,670",18.16,"37,780"
Miscellaneous Assemblers and Fabricators,"1,328,550",18.17,"37,780",17.59,"36,590"
Food Processing Workers,"795,640",16.27,"33,830",14.66,"30,480"
Bakers,"181,800",15.53,"32,300",14.31,"29,750"
"Butchers and Other Meat, Poultry, and Fish Processing Workers","364,480",16.04,"33,360",14.56,"30,280"
Butchers and Meat Cutters,"145,930",17.15,"35,670",17.33,"36,050"
"Meat, Poultry, and Fish Cutters and Trimmers","132,100",15.23,"31,680",14.29,"29,730"
Slaughterers and Meat Packers,"86,450",15.39,"32,010",14.38,"29,900"
Miscellaneous Food Processing Workers,"249,360",17.13,"35,630",17.03,"35,430"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","21,050",17.44,"36,280",17.06,"35,480"
Food Batchmakers,"155,240",17.40,"36,190",17.20,"35,780"
Food Cooking Machine Operators and Tenders,"26,710",17.03,"35,430",17.26,"35,890"
"Food Processing Workers, All Other","46,360",16.16,"33,600",15.33,"31,890"
Metal Workers and Plastic Workers,"1,633,980",21.56,"44,840",20.65,"42,960"
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic","102,640",20.53,"42,710",18.55,"38,580"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","59,490",19.48,"40,520",18.15,"37,750"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","11,500",21.35,"44,410",21.40,"44,520"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","31,650",22.22,"46,210",22.22,"46,210"
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic","288,810",19.59,"40,740",18.13,"37,720"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","179,630",19.23,"40,000",18.09,"37,630"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","6,810",20.79,"43,240",18.55,"38,580"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","67,750",19.25,"40,030",18.05,"37,550"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","19,690",21.28,"44,270",21.27,"44,240"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","14,920",22.64,"47,100",22.53,"46,850"
Machinists,"333,220",23.57,"49,020",22.95,"47,730"
"Metal Furnace Operators, Tenders, Pourers, and Casters","22,110",22.11,"45,990",22.42,"46,640"
Metal-Refining Furnace Operators and Tenders,"15,540",22.33,"46,440",22.45,"46,690"
"Pourers and Casters, Metal","6,570",21.59,"44,910",22.04,"45,850"
"Model Makers and Patternmakers, Metal and Plastic","5,780",26.80,"55,740",23.79,"49,480"
"Model Makers, Metal and Plastic","3,690",28.40,"59,080",26.75,"55,630"
"Patternmakers, Metal and Plastic","2,090",23.96,"49,840",23.12,"48,090"
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic","176,820",18.13,"37,720",17.59,"36,590"
Foundry Mold and Coremakers,"13,610",19.22,"39,980",18.13,"37,710"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","163,210",18.04,"37,530",17.48,"36,370"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","134,880",19.63,"40,830",18.09,"37,630"
Tool and Die Makers,"63,630",26.99,"56,150",27.41,"57,000"
"Welding, Soldering, and Brazing Workers","427,580",23.04,"47,910",22.55,"46,910"
"Welders, Cutters, Solderers, and Brazers","397,600",23.21,"48,290",22.60,"47,010"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","29,980",20.65,"42,950",18.55,"38,580"
Miscellaneous Metal Workers and Plastic Workers,"78,530",19.68,"40,940",18.09,"37,630"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","14,540",19.98,"41,560",18.49,"38,450"
"Layout Workers, Metal and Plastic","6,840",25.16,"52,340",24.85,"51,690"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","32,310",18.55,"38,580",17.89,"37,200"
"Tool Grinders, Filers, and Sharpeners","6,100",20.99,"43,660",18.48,"38,430"
"Metal Workers and Plastic Workers, All Other","18,740",18.98,"39,480",17.78,"36,990"
Printing Workers,"211,930",19.55,"40,660",18.13,"37,710"
Prepress Technicians and Workers,"25,840",21.06,"43,800",20.49,"42,610"
Printing Press Operators,"145,290",19.77,"41,120",18.16,"37,770"
Print Binding and Finishing Workers,"40,810",17.82,"37,060",17.59,"36,590"
"Textile, Apparel, and Furnishings Workers","445,950",15.00,"31,210",14.14,"29,420"
Laundry and Dry-Cleaning Workers,"157,400",13.38,"27,830",13.63,"28,350"
"Pressers, Textile, Garment, and Related Materials","26,910",13.52,"28,110",13.79,"28,680"
Sewing Machine Operators,"116,220",14.85,"30,880",14.27,"29,690"
Shoe and Leather Workers,"9,240",15.84,"32,950",14.31,"29,760"
Shoe and Leather Workers and Repairers,"5,620",16.77,"34,890",15.12,"31,450"
Shoe Machine Operators and Tenders,"3,610",14.38,"29,920",13.73,"28,560"
"Tailors, Dressmakers, and Sewers","21,450",16.65,"34,630",14.99,"31,180"
"Sewers, Hand","4,170",15.07,"31,350",14.39,"29,930"
"Tailors, Dressmakers, and Custom Sewers","17,270",17.03,"35,430",15.11,"31,420"
"Textile Machine Setters, Operators, and Tenders","56,700",15.92,"33,110",14.45,"30,050"
Textile Bleaching and Dyeing Machine Operators and Tenders,"6,240",15.36,"31,940",14.39,"29,930"
"Textile Cutting Machine Setters, Operators, and Tenders","11,970",15.91,"33,100",14.41,"29,960"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","16,330",16.17,"33,640",16.34,"33,990"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","22,160",15.89,"33,050",14.44,"30,020"
"Miscellaneous Textile, Apparel, and Furnishings Workers","58,030",18.77,"39,050",17.80,"37,030"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","14,040",19.52,"40,600",18.05,"37,550"
Fabric and Apparel Patternmakers,"3,220",30.81,"64,070",28.20,"58,650"
Upholsterers,"28,020",18.38,"38,220",17.99,"37,420"
"Textile, Apparel, and Furnishings Workers, All Other","12,750",15.79,"32,840",14.31,"29,750"
Woodworkers,"230,400",18.04,"37,520",17.64,"36,680"
Cabinetmakers and Bench Carpenters,"93,070",19.27,"40,070",18.05,"37,540"
Furniture Finishers,"16,300",17.94,"37,310",17.59,"36,580"
"Model Makers and Patternmakers, Wood",550,27.19,"56,560",27.60,"57,410"
"Model Makers, Wood",340,28.87,"60,040",29.22,"60,780"
"Patternmakers, Wood",210,24.53,"51,020",22.56,"46,920"
"Woodworking Machine Setters, Operators, and Tenders","112,560",17.04,"35,450",17.23,"35,850"
"Sawing Machine Setters, Operators, and Tenders, Wood","45,350",16.96,"35,280",16.99,"35,340"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","67,210",17.10,"35,560",17.35,"36,090"
Miscellaneous Woodworkers,"7,910",17.35,"36,080",17.12,"35,610"
"Woodworkers, All Other","7,910",17.35,"36,080",17.12,"35,610"
Plant and System Operators,"280,900",31.83,"66,210",29.49,"61,350"
"Power Plant Operators, Distributors, and Dispatchers","43,440",42.99,"89,410",45.57,"94,790"
Nuclear Power Reactor Operators,"4,820",53.47,"111,220",50.13,"104,260"
Power Distributors and Dispatchers,"9,660",45.92,"95,520",47.37,"98,530"
Power Plant Operators,"28,960",40.26,"83,740",38.87,"80,850"
Stationary Engineers and Boiler Operators,"29,820",33.90,"70,510",30.53,"63,500"
Water and Wastewater Treatment Plant and System Operators,"121,150",25.15,"52,320",23.02,"47,880"
Miscellaneous Plant and System Operators,"86,500",34.88,"72,540",36.86,"76,670"
Chemical Plant and System Operators,"21,740",33.18,"69,020",33.75,"70,200"
Gas Plant Operators,"15,110",37.01,"76,970",37.43,"77,850"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","34,230",38.70,"80,500",38.24,"79,540"
"Plant and System Operators, All Other","15,420",26.67,"55,480",24.16,"50,250"
Other Production Occupations,"2,409,900",20.11,"41,820",18.13,"37,710"
"Chemical Processing Machine Setters, Operators, and Tenders","154,790",24.40,"50,760",22.88,"47,580"
Chemical Equipment Operators and Tenders,"106,170",25.22,"52,450",23.12,"48,090"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","48,620",22.62,"47,060",22.13,"46,030"
"Crushing, Grinding, Polishing, Mixing, and Blending Workers","155,920",20.14,"41,900",18.35,"38,160"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","31,800",20.57,"42,790",18.63,"38,760"
"Grinding and Polishing Workers, Hand","15,680",17.30,"35,990",17.15,"35,670"
"Mixing and Blending Machine Setters, Operators, and Tenders","108,440",20.43,"42,490",18.47,"38,420"
Cutting Workers,"63,850",18.90,"39,300",18.10,"37,660"
"Cutters and Trimmers, Hand","7,920",16.51,"34,330",14.54,"30,230"
"Cutting and Slicing Machine Setters, Operators, and Tenders","55,930",19.23,"40,010",18.18,"37,810"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","56,570",19.25,"40,050",18.10,"37,660"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","14,180",21.11,"43,910",21.01,"43,710"
"Inspectors, Testers, Sorters, Samplers, and Weighers","551,380",21.54,"44,810",18.55,"38,580"
Jewelers and Precious Stone and Metal Workers,"24,350",22.64,"47,090",22.42,"46,640"
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,"68,380",21.52,"44,770",18.79,"39,090"
Dental Laboratory Technicians,"34,150",22.75,"47,320",22.00,"45,770"
Medical Appliance Technicians,"15,300",22.27,"46,320",21.77,"45,280"
Ophthalmic Laboratory Technicians,"18,930",18.71,"38,910",17.92,"37,270"
Packaging and Filling Machine Operators and Tenders,"358,640",17.67,"36,750",17.29,"35,960"
Painting Workers,"157,250",20.90,"43,480",18.59,"38,670"
"Painting, Coating, and Decorating Workers","11,850",18.39,"38,250",17.95,"37,330"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","145,410",21.11,"43,900",18.81,"39,130"
Semiconductor Processing Technicians,"24,020",22.07,"45,910",19.17,"39,870"
Photographic Process Workers and Processing Machine Operators,"5,740",19.37,"40,300",17.59,"36,590"
Computer Numerically Controlled Tool Operators and Programmers,"183,630",23.32,"48,500",22.78,"47,380"
Computer Numerically Controlled Tool Operators,"157,840",22.23,"46,240",22.42,"46,640"
Computer Numerically Controlled Tool Programmers,"25,800",29.98,"62,360",29.22,"60,780"
Miscellaneous Production Workers,"591,200",17.75,"36,920",17.23,"35,840"
Adhesive Bonding Machine Operators and Tenders,"12,510",18.55,"38,580",18.09,"37,630"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","13,580",17.22,"35,820",16.87,"35,090"
Cooling and Freezing Equipment Operators and Tenders,"7,500",20.63,"42,910",19.42,"40,390"
Etchers and Engravers,"7,110",17.77,"36,970",17.59,"36,590"
"Molders, Shapers, and Casters, Except Metal and Plastic","38,420",18.76,"39,020",18.03,"37,500"
"Paper Goods Machine Setters, Operators, and Tenders","87,480",21.24,"44,180",21.55,"44,820"
Tire Builders,"17,240",23.00,"47,840",23.05,"47,940"
Helpers--Production Workers,"202,860",15.82,"32,910",14.42,"30,000"
"Production Workers, All Other","204,500",17.42,"36,230",15.83,"32,930"
Transportation and Material Moving Occupations,"12,639,920",19.88,"41,340",17.72,"36,860"
Supervisors of Transportation and Material Moving Workers,"557,850",28.19,"58,630",26.36,"54,830"
First-Line Supervisors of Transportation and Material Moving Workers,"557,850",28.19,"58,630",26.36,"54,830"
Aircraft Cargo Handling Supervisors,"8,590",29.84,"62,080",25.74,"53,540"
